sentence,year,mean_sentiment,category
Mothers' unique view of engagement was predicted by father and mother work hours and her unique view of warmth was predicted by depression and maternal gatekeeping.,2014,0.7783636363636363,high
Both family-level factors (including parent-child relationship quality and maternal romantic relationship quality) and youth factors (including depression history and social functioning in midadolescence) were tested as potential mediators in a longitudinal community sample of 710 youth at ages 15 and 20.,2010,0.7659047619047621,high
"Current positive parenting (i.e., parent support, parent-child future orientation, and parent education support) was significantly associated with less depression and higher self-esteem, future optimism, and school satisfaction.",2015,0.7604285714285715,high
"Elderly with depression could benefit from increased social networks and enhanced social integration, which points to the development of social programs and social policies that maximize the engagement of older adults in social activities and volunteer roles.",2013,0.758923076923077,high
"However, few studies explored the role of autonomy-granting parenting on child depression in Chinese families and the protective roles of hope and life satisfaction on the relationship.",2018,0.7583,high
"The religiousness/spirituality variables conferring the greatest protection against depression were psychospiritual variables (general meaning and general hope, followed by peace).",2016,0.7558888888888889,high
"Recommendations are made for therapists on addressing issues that result from a mother's major depression, improving communication in the mother-adult daughter relationship, and utilizing family psychoeducation, and self-help and advocacy services.",2015,0.7551428571428572,high
"Additionally, higher levels of parent depression were negatively associated with Play Support beliefs while higher levels of parent efficacy were positively associated.",2016,0.7534444444444444,high
"In addition, parental depression and marital satisfaction were positively associated with perceptions of child well-being, although these relations were independent of those between family structure and child well-being.",1994,0.7509090909090909,high
"Ecological variables considered were maternal education and depression, paternal support, and infant maternal grandmother support.",2005,0.7497999999999999,high
The findings suggest that measures of depression and positive emotions/cheerfulness are necessary and sufficient to predict life satisfaction from personality traits.,2004,0.7483000000000001,high
"depression was negatively associated with education (p = .017), perceived social support as provided by the family (p = .028), and perceived social support provided by friends (p = .008), and it was positively associated with occupational status (p = .023), presence of health issues (p = .010), and anxiety (p < .001).",2017,0.7478125000000001,high
"Encouraging changes were found for survivors as well, with positive changes over time being found on safety, quality of life, social support, and depression.",2016,0.7474545454545456,high
Tracy S. Kendler's strong desire to get a college education had to overcome economic hardships of the Great Depression and a mother's conviction that finding a suitable husband was more important.,2003,0.7430000000000001,high
"Perceived conflict with parents, family depression, family support satisfaction, and availability of family support for school were the strongest predictors of adolescent SRB.",2006,0.743,high
Together with curing the depression and improving the sexual life mirtazapine can also help to restore the good quality of life.,2005,0.7427272727272727,high
The depression facet of Neuroticism and the positive emotions/cheerfulness facet of Extraversion were the strongest and most consistent predictors of life satisfaction.,2004,0.7420000000000001,high
"Results showed that father-perceived family functioning mediated the relationship between parental depression and child behaviour problems, but mother-perceived family functioning did not show this mediation effect.",2015,0.7411818181818183,high
Positive intrapsychic traits are important predictors of optimism in the presence of a parent's positive view of the child's prognosis and higher education levels in the absence of depression.,2011,0.7410769230769232,high
"Psychotherapeutic treatments that focus on improving the relational processes between mothers with postpartum depression (PPD) and their infants, as well as the mother's individual therapeutic needs, have a great potential to positively impact the mother, her infant, and their relationship (K.J. Nylen, T.E. Moran, C.L. Franklin, & M. O'Hara, 2006).",2011,0.7409999999999999,high
This study helps to highlight the heterogeneous course of depression among Latino youth and illustrates the importance of incorporating youth perspectives on family cultural values when considering their well-being.,2018,0.7404999999999999,high
"Parent ratings of the children's depression and the correspondence of child-parent ratings varied as a function of several child and family variables, including child IQ, gender, race, and family welfare status.",1983,0.7402941176470589,high
"Depression impairs the ability to retrieve positive, self-affirming autobiographical memories.",2013,0.7401428571428571,high
The enduring association between prenatal depression and a mother's perception of her child is discussed with respect to the importance of pregnancy in mothers' developing mental schema about their children and the emerging parent-child relationship.,2015,0.7395625000000001,high
Depression in mothers of children with disabilities who did not participate in integrated education was higher than in mothers of children with disabilities who participated in integrated education.,2007,0.7368571428571429,high
"Fortalezas Familiares (Family Strengths) is a community-based, 12-week, multifamily group intervention that aims to increase communication about family processes leading up to and affected by the mother's depression, build child coping and efficacy, enhance parenting competence and skills, and promote cultural and social assets within the family.",2013,0.7364347826086954,high
