target,total_change,n_epochs,avg_rate_of_change,measure,dimension,condition
abuse,0.3761576808937955,10,0.037615768089379546,SIB,Sentiment,positive
anxiety,0.39430500288615,10,0.039430500288615,SIB,Sentiment,positive
depression,0.40001502341232,10,0.040001502341231995,SIB,Sentiment,positive
mental_health,0.3540459101358321,10,0.03540459101358321,SIB,Sentiment,positive
mental_illness,0.4478012038575745,10,0.044780120385757446,SIB,Sentiment,positive
trauma,0.3797584166203476,10,0.03797584166203476,SIB,Sentiment,positive
abuse,-0.24325834842484545,10,-0.024325834842484545,SIB,Sentiment,negative
anxiety,-0.12509047694151748,10,-0.012509047694151749,SIB,Sentiment,negative
depression,-0.13045241379859218,10,-0.013045241379859218,SIB,Sentiment,negative
mental_health,-0.22871624006589442,10,-0.02287162400658944,SIB,Sentiment,negative
mental_illness,-0.2965197917827015,10,-0.02965197917827015,SIB,Sentiment,negative
trauma,-0.20718380514147022,10,-0.02071838051414702,SIB,Sentiment,negative
abuse,0.18772854536539924,10,0.018772854536539922,SIB,Intensity,high
anxiety,0.3098438936659749,10,0.030984389366597493,SIB,Intensity,high
depression,0.3470016632933778,10,0.03470016632933778,SIB,Intensity,high
mental_health,0.276236460570317,10,0.027623646057031697,SIB,Intensity,high
mental_illness,0.3402016809787022,10,0.034020168097870215,SIB,Intensity,high
trauma,0.25753020084901834,10,0.025753020084901834,SIB,Intensity,high
abuse,-0.2218581115672837,10,-0.02218581115672837,SIB,Intensity,low
anxiety,-0.2965290672261619,10,-0.02965290672261619,SIB,Intensity,low
depression,-0.37542867161557486,10,-0.03754286716155748,SIB,Intensity,low
mental_health,-0.14734228695984636,10,-0.014734228695984636,SIB,Intensity,low
mental_illness,-0.2333789544092736,10,-0.023337895440927358,SIB,Intensity,low
trauma,-0.3347638074179368,10,-0.03347638074179368,SIB,Intensity,low
abuse,0.31680857233281023,10,0.031680857233281026,SIB,Breadth,increase
anxiety,0.23719497526530575,10,0.023719497526530575,SIB,Breadth,increase
depression,0.23778616440816303,10,0.023778616440816303,SIB,Breadth,increase
mental_health,0.2499441609795915,10,0.02499441609795915,SIB,Breadth,increase
mental_illness,0.5813341796658756,10,0.05813341796658757,SIB,Breadth,increase
trauma,0.2560368730891739,10,0.025603687308917388,SIB,Breadth,increase
