target,total_change,n_epochs,avg_rate_of_change,measure,dimension,condition
abuse,3.73650164,10,0.373650164,LSC,Breadth,increase
anxiety,0.7964963079999999,10,0.0796496308,LSC,Breadth,increase
depression,1.79000995,10,0.179000995,LSC,Breadth,increase
mental_health,0.931793078,10,0.0931793078,LSC,Breadth,increase
mental_illness,0.405516555,10,0.0405516555,LSC,Breadth,increase
trauma,1.69660783,10,0.169660783,LSC,Breadth,increase
abuse,2.92035202,10,0.292035202,LSC,Sentiment,negative
anxiety,0.514499606,10,0.0514499606,LSC,Sentiment,negative
depression,1.2110918290000001,10,0.12110918290000001,LSC,Sentiment,negative
mental_health,0.63003883,10,0.06300388300000001,LSC,Sentiment,negative
mental_illness,0.210184206,10,0.0210184206,LSC,Sentiment,negative
trauma,1.52754164,10,0.152754164,LSC,Sentiment,negative
abuse,2.88742218,10,0.288742218,LSC,Sentiment,positive
anxiety,0.507550023,10,0.0507550023,LSC,Sentiment,positive
depression,1.252415734,10,0.1252415734,LSC,Sentiment,positive
mental_health,0.62933821,10,0.062933821,LSC,Sentiment,positive
mental_illness,0.211592687,10,0.0211592687,LSC,Sentiment,positive
trauma,1.454115864,10,0.14541158640000001,LSC,Sentiment,positive
