target,total_change,n_epochs,avg_rate_of_change,measure,dimension,condition
abuse,0.333790652599984,10,0.0333790652599984,ABSA,Sentiment,positive
anxiety,0.5456163802235385,10,0.05456163802235385,ABSA,Sentiment,positive
depression,0.40327448531473054,10,0.040327448531473055,ABSA,Sentiment,positive
health,0.48913999803690267,10,0.04891399980369027,ABSA,Sentiment,positive
illness,0.4885603633511438,10,0.04885603633511438,ABSA,Sentiment,positive
trauma,0.5571241491970126,10,0.05571241491970126,ABSA,Sentiment,positive
abuse,-0.6506066634240564,10,-0.06506066634240563,ABSA,Sentiment,negative
anxiety,-0.7344468810311521,10,-0.0734446881031152,ABSA,Sentiment,negative
depression,-0.4615901363240554,10,-0.046159013632405536,ABSA,Sentiment,negative
health,-0.3110870665176773,10,-0.03110870665176773,ABSA,Sentiment,negative
illness,-0.15148238759944854,10,-0.015148238759944855,ABSA,Sentiment,negative
trauma,-0.5279834893470545,10,-0.052798348934705454,ABSA,Sentiment,negative
