target,total_change,n_epochs,avg_rate_of_change,measure,dimension,condition
abuse,0.333790652599984,10,0.0333790652599984,ABSA,Sentiment,positive
anxiety,0.5456163802235385,10,0.0545616380223538,ABSA,Sentiment,positive
depression,0.4032744853147305,10,0.040327448531473,ABSA,Sentiment,positive
mental_health,0.4891399980369026,10,0.0489139998036902,ABSA,Sentiment,positive
mental_illness,0.4885603633511438,10,0.0488560363351143,ABSA,Sentiment,positive
trauma,0.5571241491970126,10,0.0557124149197012,ABSA,Sentiment,positive
abuse,-0.6506066634240564,10,-0.0650606663424056,ABSA,Sentiment,negative
anxiety,-0.7344468810311521,10,-0.0734446881031152,ABSA,Sentiment,negative
depression,-0.4615901363240554,10,-0.0461590136324055,ABSA,Sentiment,negative
mental_health,-0.3110870665176773,10,-0.0311087066517677,ABSA,Sentiment,negative
mental_illness,-0.1514823875994485,10,-0.0151482387599448,ABSA,Sentiment,negative
trauma,-0.5279834893470545,10,-0.0527983489347054,ABSA,Sentiment,negative
abuse,0.2908523329591609,10,0.029085233295916,Lexeme,Breadth,increase
anxiety,0.4500534500408163,10,0.0450053450040816,Lexeme,Breadth,increase
depression,0.8429135076734693,10,0.0842913507673469,Lexeme,Breadth,increase
mental_health,-0.0131275928163262,10,-0.0013127592816326,Lexeme,Breadth,increase
mental_illness,0.2445610273861732,10,0.0244561027386173,Lexeme,Breadth,increase
trauma,0.2102268494305618,10,0.0210226849430561,Lexeme,Breadth,increase
abuse,3.73650164,10,0.373650164,LSC,Breadth,increase
anxiety,0.7964963079999999,10,0.0796496308,LSC,Breadth,increase
depression,1.79000995,10,0.179000995,LSC,Breadth,increase
mental_health,0.931793078,10,0.0931793078,LSC,Breadth,increase
mental_illness,0.405516555,10,0.0405516555,LSC,Breadth,increase
trauma,1.69660783,10,0.169660783,LSC,Breadth,increase
abuse,-2.92035202,10,-0.292035202,LSC,Sentiment,negative
anxiety,-0.514499606,10,-0.0514499606,LSC,Sentiment,negative
depression,-1.211091829,10,-0.1211091829,LSC,Sentiment,negative
mental_health,-0.63003883,10,-0.063003883,LSC,Sentiment,negative
mental_illness,-0.210184206,10,-0.0210184206,LSC,Sentiment,negative
trauma,-1.52754164,10,-0.152754164,LSC,Sentiment,negative
abuse,2.88742218,10,0.288742218,LSC,Sentiment,positive
anxiety,0.507550023,10,0.0507550023,LSC,Sentiment,positive
depression,1.252415734,10,0.1252415734,LSC,Sentiment,positive
mental_health,0.62933821,10,0.062933821,LSC,Sentiment,positive
mental_illness,0.211592687,10,0.0211592687,LSC,Sentiment,positive
trauma,1.454115864,10,0.1454115864,LSC,Sentiment,positive
abuse,0.3761576808937955,10,0.0376157680893795,SIB,Sentiment,positive
anxiety,0.39430500288615,10,0.039430500288615,SIB,Sentiment,positive
depression,0.40001502341232,10,0.0400015023412319,SIB,Sentiment,positive
mental_health,0.3540459101358321,10,0.0354045910135832,SIB,Sentiment,positive
mental_illness,0.4478012038575745,10,0.0447801203857574,SIB,Sentiment,positive
trauma,0.3797584166203476,10,0.0379758416620347,SIB,Sentiment,positive
abuse,-0.2432583484248454,10,-0.0243258348424845,SIB,Sentiment,negative
anxiety,-0.1250904769415174,10,-0.0125090476941517,SIB,Sentiment,negative
depression,-0.1304524137985921,10,-0.0130452413798592,SIB,Sentiment,negative
mental_health,-0.2287162400658944,10,-0.0228716240065894,SIB,Sentiment,negative
mental_illness,-0.2965197917827015,10,-0.0296519791782701,SIB,Sentiment,negative
trauma,-0.2071838051414702,10,-0.020718380514147,SIB,Sentiment,negative
abuse,0.1877285453653992,10,0.0187728545365399,SIB,Intensity,high
anxiety,0.3098438936659749,10,0.0309843893665974,SIB,Intensity,high
depression,0.3470016632933778,10,0.0347001663293377,SIB,Intensity,high
mental_health,0.276236460570317,10,0.0276236460570316,SIB,Intensity,high
mental_illness,0.3402016809787022,10,0.0340201680978702,SIB,Intensity,high
trauma,0.2575302008490183,10,0.0257530200849018,SIB,Intensity,high
abuse,-0.2218581115672837,10,-0.0221858111567283,SIB,Intensity,low
anxiety,-0.2965290672261619,10,-0.0296529067226161,SIB,Intensity,low
depression,-0.3754286716155748,10,-0.0375428671615574,SIB,Intensity,low
mental_health,-0.1473422869598463,10,-0.0147342286959846,SIB,Intensity,low
mental_illness,-0.2333789544092736,10,-0.0233378954409273,SIB,Intensity,low
trauma,-0.3347638074179368,10,-0.0334763807417936,SIB,Intensity,low
abuse,0.3168085723328102,10,0.031680857233281,SIB,Breadth,increase
anxiety,0.2371949752653057,10,0.0237194975265305,SIB,Breadth,increase
depression,0.237786164408163,10,0.0237786164408163,SIB,Breadth,increase
mental_health,0.2499441609795915,10,0.0249944160979591,SIB,Breadth,increase
mental_illness,0.5813341796658756,10,0.0581334179665875,SIB,Breadth,increase
trauma,0.2560368730891739,10,0.0256036873089173,SIB,Breadth,increase
