sentence,sibling,target,year,mlm,cosine,valid
"Thirteen women suffering from agitated depression have been studied before, during and after periods of eight to fifteen electro-shock treatments.",depression,mental_illness,1946.0,3.8230748106043038,0.9126781821250916,1
sentence,mania,mental_illness,,,0.9999999403953552,0
The withdrawal response of the land snail helix albolabris disappears on appropriate repetition of the (mechanical) stimulus.,nervousness,mental_illness,1930.0,,1.0,0
"In the usual terminology, the snail becomes habituated to the stimulus.",agitation,mental_illness,1930.0,,1.0,0
"The disappearance of the response cannot be due to fatigue, as this term is usually understood; for (a) a single stimulus may be sufficient to effect it, (b) more intense stimulation will, under conditions not quantitatively ascertained, remove the habituation, a fact difficult to reconcile with the ordinary conception of fatigue, (c) cases were observed where the habituation took longer to re-effect after the extraneous stimulus than before.",anhedonia,mental_illness,1930.0,,1.0000001192092896,0
Habituation disappears after appropriate rest.,hallucinosis,mental_illness,1930.0,,1.0000001192092896,0
It may be deepened by further stimulation after response has ceased.,delusion,mental_illness,1930.0,,1.0000001192092896,0
"The hypothesis is put forward of a physiological state or process tending to diminish action; such process would be intensified by appropriate repetition of the existing stimulus, and diminished by appropriate rest and extraneous stimulation.",state of mind,mental_illness,1930.0,,1.000000238418579,0
"A similar hypothesis is made to explain the extinction of conditioned responses by Pavlov, who calls the underlying process Inhibition.",delusion,mental_illness,1930.0,,1.0,0
"The phenomenon investigated, and extinction of conditioned reflexes probably have the same explanation.",dolefulness,mental_illness,1930.0,,1.000000238418579,0
"With reference to the phenomena of habituation, the snail, as a biological system, behaves in the manner that would be expected of a system obeying Le Chatelier's rule.",dissociation,mental_illness,1930.0,,0.9999998211860657,0
In this section it is concluded that velocity is perceived directly and is dynamically conditioned by the structure and general properties of the visual field in which the movement occurs.,delusion,mental_illness,1931.0,,1.0,0
The visual perception of velocity follows dynamic laws that are not immediately deducible from the velocity of the stimulus as physically defined.,ridicule,mental_illness,1931.0,,0.9999998807907104,0
No physiological theory is offered but it is pointed out that the theory of physiological Gestalten is essentially correct in its basic assumptions concerning the perception of movement.,nervousness,mental_illness,1931.0,,0.9999999403953552,0
"The investigation has bearing on the problems of movement thresholds, movement after-images and the perception of time.",mental illness,mental_illness,1931.0,,1.000000238418579,0
"The equation, phenomenal velocity=phenomenal space/phenomenal time-, v=st, was proven in the following manner.",hallucinosis,mental_illness,1931.0,,1.0,0
Five cases where variation in the structure of the movement field causes variation in the phenomenal velocity were tested to find out if to the variation in phenomenal velocity corresponding variation in phenomenal time (or phenomenal space) of the movement were to be found.,depersonalization,mental_illness,1931.0,,1.0,0
"The results of these tests were in close agreement, with the values predicted, from the facts known about phenomenal velocity, on the supposition that the equation held.",contempt,mental_illness,1931.0,,1.0000001192092896,0
From this it is concluded that all those structural variations that increase the phenomenal velocity of a movement either increase the phenomenal space or shorten the phenomenal time for equal space correspondingly 2.,hallucinosis,mental_illness,1931.0,,1.0000001192092896,0
"In far the greater number of cases, the variation is caused in the phenomenal time, and hence it is concluded that impression of duration gained by watching objects in visual movement fields is conditioned by the properties of the field in which the movement occurs.",fugue,mental_illness,1931.0,,1.0000001192092896,0
"These variations in the flow of phenomenal time are not isolated cases which could be explained as illusions, but are continuous variations conditioned by practically any change in the structure of the movement field.",morale,mental_illness,1931.0,,1.0,0
Time where there is movement (filled time) is on the whole phenomenally longer than time marked off by disparate stimuli (unfilled time).,morale,mental_illness,1931.0,,1.0,0
"This ratio varies, however, in accordance with the structure of the field in which the movement (filled time) occurs.",anhedonia,mental_illness,1931.0,,1.0,0
A wide range of individual differences in the ability to identify facial expressions of emotion has been reported.,hallucinosis,mental_illness,1932.0,,1.0000001192092896,0
"As evidence that these inequalities are due in large part to differences of practice in reacting to expressive criteria, rather than to innate factors, F. H. Allport has offered the data from an experimental observation of the effects of training subjects of varying ability for fifteen minutes in the analysis of facial expressions.",contempt,mental_illness,1932.0,,1.000000238418579,0
"The gain in score made by his subjects on the facial expression test after the training period was roughly inversely proportional to their original standing; i.e., the less proficient persons gained the most and the more proficient gained the least.",disregard,mental_illness,1932.0,,1.0000001192092896,0
"Repeating this procedure with larger groups of subjects, both with the same and longer study periods, the writer largely confirmed Allport's data.",sorrow,mental_illness,1932.0,,1.0000001192092896,0
"However, a control experiment, affording no opportunity for study, yielded similar data, except that on the average no gain in score resulted.",nervousness,mental_illness,1932.0,,0.9999999403953552,0
"The inverse relationship between original ability and amount of gain or loss should not, therefore, be attributed to the effects of training.",mental illness,mental_illness,1932.0,,1.0000001192092896,0
"Further analysis shows that when the reliability of the facial expression test, found by retesting a group of subjects, is taken into account, the negative coefficient practically disappears.",disregard,mental_illness,1932.0,,1.0,0
"The negative coefficient, upon which Allport bases his theory, is thus found to result in this study from the erroneous assumption that the reliability of the facial expression test is perfect.",hallucinosis,mental_illness,1932.0,,0.9999999403953552,0
