sentence,sibling,target,year,mlm,cosine,valid
"Four different states are described: weeping; fear, probably associated with unconscious thought; pure depression alternating with elation; a picture of hebephrenic schizophrenia.",depression,depression,1943.0,1.0,0.9772107005119324,1
sentence,weepiness,depression,,,0.9999999403953552,0
The withdrawal response of the land snail helix albolabris disappears on appropriate repetition of the (mechanical) stimulus.,agitation,depression,1930.0,,1.0,0
"In the usual terminology, the snail becomes habituated to the stimulus.",dissociation,depression,1930.0,,1.0,0
"The disappearance of the response cannot be due to fatigue, as this term is usually understood; for (a) a single stimulus may be sufficient to effect it, (b) more intense stimulation will, under conditions not quantitatively ascertained, remove the habituation, a fact difficult to reconcile with the ordinary conception of fatigue, (c) cases were observed where the habituation took longer to re-effect after the extraneous stimulus than before.",disparagement,depression,1930.0,,1.0000001192092896,0
Habituation disappears after appropriate rest.,mental illness,depression,1930.0,,1.0000001192092896,0
It may be deepened by further stimulation after response has ceased.,enchantment,depression,1930.0,,1.0000001192092896,0
"The hypothesis is put forward of a physiological state or process tending to diminish action; such process would be intensified by appropriate repetition of the existing stimulus, and diminished by appropriate rest and extraneous stimulation.",mental health,depression,1930.0,,1.000000238418579,0
"A similar hypothesis is made to explain the extinction of conditioned responses by Pavlov, who calls the underlying process Inhibition.",sorrow,depression,1930.0,,1.0,0
"The phenomenon investigated, and extinction of conditioned reflexes probably have the same explanation.",heaviness,depression,1930.0,,1.000000238418579,0
"With reference to the phenomena of habituation, the snail, as a biological system, behaves in the manner that would be expected of a system obeying Le Chatelier's rule.",nervousness,depression,1930.0,,0.9999998211860657,0
In this section it is concluded that velocity is perceived directly and is dynamically conditioned by the structure and general properties of the visual field in which the movement occurs.,fear,depression,1931.0,,1.0,0
The visual perception of velocity follows dynamic laws that are not immediately deducible from the velocity of the stimulus as physically defined.,nervousness,depression,1931.0,,0.9999998807907104,0
No physiological theory is offered but it is pointed out that the theory of physiological Gestalten is essentially correct in its basic assumptions concerning the perception of movement.,anhedonia,depression,1931.0,,0.9999999403953552,0
"The investigation has bearing on the problems of movement thresholds, movement after-images and the perception of time.",depression,depression,1931.0,,1.000000238418579,0
"The equation, phenomenal velocity=phenomenal space/phenomenal time-, v=st, was proven in the following manner.",ridicule,depression,1931.0,,1.0,0
Five cases where variation in the structure of the movement field causes variation in the phenomenal velocity were tested to find out if to the variation in phenomenal velocity corresponding variation in phenomenal time (or phenomenal space) of the movement were to be found.,enchantment,depression,1931.0,,1.0,0
